date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:27	152352/152352	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:09%20GMT	https://www.plus500.com/en/	C:/My%20Web%20Sites/plus500/www.plus500.com/en/index.html	(from )
19:20:27	275/275	------	200	untouched ('OK')	text/plain	etag:%22aa7526b1cb15d81:0%22	https://www.plus500.com/robots.txt		(from )
19:20:28	6894/6894	------	200	untouched ('')	image/x-icon	etag:W/%22af5288e34b1ed71:0%22	https://www.plus500.com/en/favicon.ico	C:/My%20Web%20Sites/plus500/www.plus500.com/en/favicon.ico	(from https://www.plus500.com/en/)
19:20:28	388384/388384	------	200	untouched ('OK')	text/css	etag:%22258798543c16db1:0%22	https://cdn-main.plus500.com/1.0.0.120279/Resources/CSS/home.css	C:/My%20Web%20Sites/plus500/cdn-main.plus500.com/1.0.0.120279/Resources/CSS/home.css	(from https://www.plus500.com/en/)
19:20:29	35/35	---M--	200	added ('OK')	image/gif	date:Wed,%2016%20Oct%202024%2012:20:29%20GMT	https://dev.visualwebsiteoptimizer.com/ee.gif?a=	C:/My%20Web%20Sites/plus500/dev.visualwebsiteoptimizer.com/ee5ba7.gif	(from https://www.plus500.com/en/)
19:20:29	156/156	------	301	error ('')	text/html		https://www.plus500.com/en/GET	C:/My%20Web%20Sites/plus500/www.plus500.com/en/GET.3.delayed	(from https://www.plus500.com/en/)
19:20:29	156/156	------	302	error ('')	text/html		https://www.plus500.com/en/get	C:/My%20Web%20Sites/plus500/www.plus500.com/en/get.4.delayed	(from https://www.plus500.com/en/)
19:20:30	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2016%20Oct%202024%2012:20:30%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/plus500/www.googletagmanager.com/gtm.55445.delayed	(from https://www.plus500.com/en/)
19:20:30	72/72	------	405	error ('Method%20Not%20Allowed')	application/json	date:Tue,%2015%20Oct%202024%2022:14:47%20GMT	https://www.plus500.com/en/api/ReportData	C:/My%20Web%20Sites/plus500/www.plus500.com/en/api/ReportData.22.delayed	(from https://www.plus500.com/en/)
19:20:30	136126/136126	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:14%20GMT	https://www.plus500.com/en/trading/indices	C:/My%20Web%20Sites/plus500/www.plus500.com/en/trading/indices.html	(from https://www.plus500.com/en/)
19:20:30	140629/140629	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:15%20GMT	https://www.plus500.com/en/trading/forex	C:/My%20Web%20Sites/plus500/www.plus500.com/en/trading/forex.html	(from https://www.plus500.com/en/)
19:20:30	140000/140000	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:16%20GMT	https://www.plus500.com/en/trading/commodities	C:/My%20Web%20Sites/plus500/www.plus500.com/en/trading/commodities.html	(from https://www.plus500.com/en/)
19:20:30	139407/139407	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:17%20GMT	https://www.plus500.com/en/trading/stocks	C:/My%20Web%20Sites/plus500/www.plus500.com/en/trading/stocks.html	(from https://www.plus500.com/en/)
19:20:31	143607/143607	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:18%20GMT	https://www.plus500.com/en/trading/options	C:/My%20Web%20Sites/plus500/www.plus500.com/en/trading/options.html	(from https://www.plus500.com/en/)
19:20:31	134479/134479	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:19%20GMT	https://www.plus500.com/en/trading/etfs	C:/My%20Web%20Sites/plus500/www.plus500.com/en/trading/etfs.html	(from https://www.plus500.com/en/)
19:20:31	2169190/2169190	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:21%20GMT	https://www.plus500.com/en/instruments	C:/My%20Web%20Sites/plus500/www.plus500.com/en/instruments.html	(from https://www.plus500.com/en/)
